School,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes,Standard Score
Littlerock High,Antelope Valley Union High,Littlerock,93543,Los Angeles County,Yes,No,No,No,1483,60.4,24.5,0.81,0.06,0,0,0.8,0,0.02,0.11,
Da Vinci RISE High,Da Vinci RISE High District,El Segundo,90245,Los Angeles County,Yes,Yes,No,Yes,132,9.1,14.5,0.7,0.29,0,0,0.61,0,0.06,0.04,
Twain High,San Diego Unified,San Diego,92111,San Diego County,Yes,No,No,No,315,29.4,10.6,0.81,0.09,0.01,0.07,0.66,0,0.06,0.12,
Madison Park Academy 6-12,Oakland Unified,Oakland,94603,Alameda County,Yes,No,No,No,774,43.9,17.5,0.94,0.15,0,0.01,0.81,0.01,0.01,0.01,
Summit View Independent Study,Riverside Unified,Riverside,92506,Riverside County,No,No,No,No,253,9.1,27.6,0.56,0.05,0,0.01,0.57,0,0.03,0.33,
Upper Lake High,Upper Lake Unified,Upper Lake,95485,Lake County,Yes,No,No,No,293,14.5,20.1,0.6,0.01,0.09,0.01,0.32,0,0.07,0.5,
Don Pedro High,Big Oak Flat-Groveland Unified,La Grange,95329,Tuolumne County,Yes,No,No,No,51,5,10.2,0.55,0,0.02,0,0.22,0,0.06,0.71,
Desert Oasis High (Continuation),Central Union High,El Centro,92243,Imperial County,Yes,No,No,No,144,9.7,14.8,0.83,0.01,0,0,0.98,0.01,0,0.01,
Magnolia Science Academy 4,Magnolia Science Academy 4 District,Los Angeles,90064,Los Angeles County,Yes,Yes,No,No,176,9.8,17.9,0.7,0.18,0,0.01,0.77,0,0,0.05,
Olive Grove Charter - Lompoc,Olive Grove Charter - Lompoc District,Lompoc,93436,Santa Barbara County,Yes,Yes,No,No,117,8.6,13.6,0.74,0.01,0.02,0,0.74,0,0.08,0.15,
Diego Hills Central Public Charter,Diego Hills Central Public Charter District,San Diego,92115,San Diego County,(n/a),Yes,No,No,748,34.1,21.9,0.82,0.14,0,0.03,0.63,0,0.06,0.13,
Mojave River Academy - Silver Mountain,Mojave River Academy - Silver Mountain District,Barstow,92311,San Bernardino County,(n/a),Yes,No,No,363,15.3,23.5,0.75,0.09,0.02,0,0.44,0,0.06,0.4,
Mountain High,Rim of the World Unified,Lake Arrowhead,92325,San Bernardino County,Yes,No,No,No,55,3,18.3,0.71,0,0,0,0.38,0,0.04,0.58,
Pegasus High,East Side Union High,San Jose,95133,Santa Clara County,Yes,No,No,No,114,6,19,0.53,0.08,0.02,0.12,0.66,0.02,0.04,0.07,
Jack London Continuation,Los Angeles Unified,Van Nuys,91401,Los Angeles County,Yes,No,No,No,120,6,20,0.98,0.06,0,0.01,0.87,0,0,0.07,
Stockton High,Stockton Unified,Stockton,95202,San Joaquin County,Yes,No,No,No,205,4.3,47.2,0.82,0.12,0.06,0.03,0.71,0.01,0,0.06,
Educational Partnership High,Long Beach Unified,Long Beach,90813,Los Angeles County,No,No,No,No,807,18,44.8,0.56,0.17,0,0.04,0.67,0.02,0.02,0.09,
La Entrada Continuation High,San Juan Unified,Fair Oaks,95628,Sacramento County,Yes,No,No,No,53,2,25.7,0.62,0.09,0.04,0.04,0.19,0.06,0.04,0.55,
Sierra High,Fillmore Unified,Fillmore,93015,Ventura County,Yes,No,No,No,55,4.1,13.4,0.89,0,0,0,0.96,0,0,0.04,
Orange County Workforce Innovation High,Orange County Workforce Innovation High District,Anaheim,92801,Orange County,(n/a),Yes,No,No,209,8.5,24.5,0.79,0.03,0.01,0.03,0.75,0,0.04,0.13,
NU Technical High,Nevada Joint Union High,Grass Valley,95945,Nevada County,No,No,No,No,32,2,16,0.38,0.03,0,0.03,0.03,0,0.03,0.88,
Prospect High (Continuation),Oroville Union High,Oroville,95965,Butte County,Yes,No,No,No,109,8.6,12.6,0.95,0.06,0.09,0.05,0.3,0,0.04,0.47,
Alpaugh -Senior High,Alpaugh Unified,Alpaugh,93201,Tulare County,Yes,No,No,No,78,6.1,12.6,0.95,0,0,0,0.94,0,0,0.06,
Whitman Continuation,Los Angeles Unified,Los Angeles,90036,Los Angeles County,Yes,No,No,No,70,3,23.3,0.66,0.13,0,0.09,0.74,0,0,0.04,
Aurora High (Continuation),Calexico Unified,Calexico,92231,Imperial County,Yes,No,No,No,164,11,14.9,0.95,0,0,0,1,0,0,0,
Leadership Military Academy - Indio,Leadership Military Academy - Indio District,Indio,92201,Riverside County,Yes,Yes,No,No,93,7,13.2,0.85,0,0.01,0,0.97,0,0,0.02,
Rio Cazadero High (Continuation),Elk Grove Unified,Sacramento,95823,Sacramento County,Yes,No,No,No,138,10,13.8,0.7,0.24,0.01,0.05,0.51,0.02,0.12,0.05,
Folsom Lake High,Folsom-Cordova Unified,Folsom,95630,Sacramento County,No,No,No,No,97,8.6,11.2,0.38,0.02,0,0.09,0.27,0,0.06,0.56,
SIATech,SIATech District,Oceanside,92056,San Diego County,Yes,Yes,No,No,1137,38,29.8,0.86,0.14,0.01,0.03,0.68,0,0.07,0.07,
Thornton High,Jefferson Union High,Daly City,94014,San Mateo County,No,No,No,No,124,9.2,13.4,0.36,0.04,0,0.19,0.52,0.01,0.09,0.15,
San Diego Business/Leadership,San Diego Unified,San Diego,92101,San Diego County,Yes,No,Yes,No,531,28.1,18.8,0.82,0.06,0,0.01,0.86,0,0.02,0.05,
Kings Valley Academy II,Kings Valley Academy II District,Hanford,93280,Kings County,(n/a),Yes,No,No,849,35.2,24,0.88,0.03,0.01,0.01,0.75,0,0.03,0.17,
Opportunity Program,Riverside Unified,Riverside,92506,Riverside County,Yes,No,No,No,42,3.4,12.3,0.79,0.14,0,0,0.6,0,0.05,0.21,
Alain Leroy Locke College Preparatory Academy,Alain Leroy Locke College Preparatory Academy District,Los Angeles,90061,Los Angeles County,Yes,Yes,No,No,1393,76,18.3,0.96,0.24,0,0,0.76,0,0,0,
Butte View High,Sutter Union High,Sutter,95982,Sutter County,Yes,No,No,No,36,1.9,18,0.56,0,0.08,0,0.39,0,0,0.53,
CIS Academy,Pasadena Unified,Pasadena,91107,Los Angeles County,Yes,No,No,No,205,9.2,22.2,0.52,0.09,0,0.03,0.71,0,0.03,0.14,
Jamison (Donald C.) High (Continuation),Lemoore Union High,Lemoore,93245,Kings County,Yes,No,No,No,100,7,14.2,0.79,0.04,0.07,0,0.75,0,0,0.14,
Aggeler Community Day,Los Angeles Unified,Chatsworth,91311,Los Angeles County,Yes,No,No,No,70,5.5,12.7,0.96,0.21,0,0,0.67,0,0.01,0.1,
Chaparral High,Ojai Unified,Ojai,93023,Ventura County,Yes,No,No,No,58,2.9,19.8,0.66,0,0,0,0.29,0,0,0.71,
Val Verde High,Val Verde Unified,Perris,92571,Riverside County,Yes,No,No,No,270,25,10.8,0.84,0.18,0.01,0.03,0.74,0,0.01,0.03,
Sierra High (Continuation),Tahoe-Truckee Unified,Truckee,96161,Nevada County,Yes,No,No,No,50,3.6,13.8,0.58,0,0,0,0.66,0,0,0.34,
Chaparral High,Snowline Joint Unified,Phelan,92329,San Bernardino County,Yes,No,No,No,159,7.8,20.1,0.71,0.04,0,0.01,0.47,0,0.14,0.35,
Monterey High (Continuation),Burbank Unified,Burbank,91506,Los Angeles County,No,No,No,No,141,9,15.6,0.49,0.02,0,0.02,0.59,0,0.03,0.34,
America's Finest Charter,America's Finest Charter District,San Diego,92102,San Diego County,Yes,Yes,No,No,446,25,17.8,0.96,0.2,0,0.04,0.7,0.01,0,0.04,
Esperanza High (Continuation),Gridley Unified,Gridley,95948,Butte County,Yes,No,No,No,33,1.9,17.3,0.64,0,0,0,0.39,0,0.09,0.52,
San Andreas Continuation High,San Benito High,Hollister,95023,San Benito County,Yes,No,No,No,103,3.9,26,0.79,0.01,0,0.01,0.87,0,0.01,0.1,
Mountain View High,San Jacinto Unified,San Jacinto,92582,Riverside County,Yes,No,No,No,250,11,22.7,0.79,0.12,0.02,0,0.73,0,0.03,0.09,
Oak View High School & Education Center,Yucaipa-Calimesa Joint Unified,Yucaipa,92399,San Bernardino County,Yes,No,No,No,82,7.2,11.3,0.92,0.05,0.01,0.01,0.62,0,0.01,0.29,
Bravo Lake High,Woodlake Unified,Visalia,93292,Tulare County,Yes,No,No,No,22,1.6,13.7,0.86,0,0,0,0.96,0,0,0.05,
Opportunity Youth Academy,Santa Clara County Office of Education,San Jose,95131,Santa Clara County,Yes,Yes,No,No,291,9,32.3,0.81,0.05,0.01,0.01,0.87,0.01,0.01,0.05,
Central High,Los Angeles Unified,Los Angeles,90021,Los Angeles County,Yes,No,No,No,559,27,20.7,0.86,0.1,0.01,0.01,0.85,0,0,0.03,
Orangewood High (Continuation),Redlands Unified,Redlands,92374,San Bernardino County,Yes,No,No,No,208,18.5,11.2,0.89,0.07,0.01,0.02,0.71,0.01,0.03,0.16,
Baden High (Continuation),South San Francisco Unified,South San Francisco,94080,San Mateo County,No,No,No,No,107,6.7,15.9,0.5,0.04,0,0.12,0.74,0.04,0.02,0.05,
Mojave River Academy - Rockview Park,Mojave River Academy - Rockview Park District,Hesperia,92345,San Bernardino County,(n/a),Yes,No,No,111,10.4,10.6,0.87,0.09,0,0,0.67,0,0.04,0.21,
Royal Sunset (Continuation),San Lorenzo Unified,Hayward,94541,Alameda County,No,No,No,No,105,7.8,13.4,0.59,0.25,0.01,0.05,0.63,0,0.02,0.05,
Pride Continuation,Linden Unified,Stockton,95215,San Joaquin County,No,No,No,No,45,2.3,19.3,0.73,0.04,0,0.04,0.73,0,0,0.18,
Owensmouth Continuation,Los Angeles Unified,Canoga Park,91303,Los Angeles County,Yes,No,No,No,106,6.5,16.3,0.93,0.01,0,0.02,0.93,0,0,0.04,
School of Extended Educational Options,Pomona Unified,Pomona,91767,Los Angeles County,Yes,Yes,No,No,398,15.7,25.2,0.93,0.06,0,0,0.84,0,0.04,0.06,
Cuyama Valley High,Cuyama Joint Unified,New Cuyama,93254,Santa Barbara County,Yes,No,No,No,47,6.2,7.5,0.81,0,0,0,0.87,0,0.02,0.11,
Heartland High (Continuation),Selma Unified,Selma,93662,Fresno County,Yes,No,No,No,63,5.6,11.1,0.84,0.02,0,0,0.95,0,0,0.03,
Valley High,Delano Joint Union High,Delano,93215,Kern County,Yes,No,No,No,97,8.4,11.5,0.95,0.01,0,0.04,0.95,0,0,0,
Marie L. Hare High,Garden Grove Unified,Garden Grove,92841,Orange County,Yes,No,No,No,238,14,17,0.78,0,0,0.06,0.83,0.02,0.01,0.08,
North Bay Met Academy,Windsor Unified,Windsor,95492,Sonoma County,Yes,No,No,No,87,9.8,8.8,0.41,0,0.03,0,0.52,0,0.02,0.43,
Street Academy (Alternative),Oakland Unified,Oakland,94609,Alameda County,Yes,No,No,No,107,4.5,23.7,0.86,0.47,0,0.03,0.43,0,0.05,0.03,
Lopez Continuation High,Lucia Mar Unified,Arroyo Grande,93420,San Luis Obispo County,Yes,No,No,No,105,8.5,12.2,0.82,0.01,0,0.01,0.57,0.02,0.01,0.38,
Robert Elliott Alternative Education Center,Modesto City High,Modesto,95350,Stanislaus County,Yes,No,No,No,505,39.5,12.7,0.77,0.06,0.01,0.03,0.71,0.01,0.06,0.13,
March Mountain High,Moreno Valley Unified,Moreno Valley,92553,Riverside County,Yes,No,No,No,334,19.7,16.9,0.84,0.22,0.01,0.01,0.68,0.01,0.01,0.08,
Alessandro High,Hemet Unified,Hemet,92543,Riverside County,Yes,No,No,No,329,18,18.2,0.88,0.14,0.02,0.01,0.62,0,0.05,0.17,
Santana High (Continuation),Rowland Unified,La Puente,91744,Los Angeles County,Yes,No,No,No,162,10.8,14.9,0.85,0.01,0.01,0.04,0.92,0,0,0.02,
Apollo High,East Side Union High,San Jose,95122,Santa Clara County,Yes,No,No,No,151,8,18.8,0.82,0.02,0.01,0.04,0.91,0,0,0.03,
Confluence Continuation High,Placer Union High,Auburn,95603,Placer County,Yes,No,No,No,72,3,24,0.6,0,0.06,0.01,0.31,0,0.06,0.57,
Argus High (Continuation),Ceres Unified,Ceres,95307,Stanislaus County,Yes,No,No,No,215,7.6,28,0.83,0.01,0.01,0.02,0.79,0.01,0.01,0.14,
John R. Wooden High,Los Angeles Unified,Reseda,91335,Los Angeles County,Yes,No,No,No,99,6,16.5,0.94,0.02,0,0.03,0.9,0.02,0,0.03,
Glen View High,Beaumont Unified,Beaumont,92223,Riverside County,Yes,No,No,No,109,6.4,16.8,0.71,0.07,0.03,0,0.62,0,0.01,0.28,
Alvord Alternative Continuation High,Alvord Unified,Riverside,92505,Riverside County,Yes,No,No,No,163,7.3,22,0.9,0.01,0,0,0.93,0,0.01,0.05,
Maine Prairie High (Continuation),Dixon Unified,Dixon,95620,Solano County,No,No,No,No,83,5.4,15.3,0.64,0.01,0.01,0.01,0.59,0,0.04,0.34,
Valley Atwater Community,Merced County Office of Education,Atwater,95301,Merced County,Yes,No,No,No,137,7.2,18.8,0.83,0.12,0,0.02,0.75,0,0.02,0.1,
New Valley Continuation High,Santa Clara Unified,Santa Clara,95051,Santa Clara County,No,No,No,No,127,10.2,12.3,0.75,0.02,0,0.04,0.76,0.04,0.02,0.12,
Crenshaw Sci Technical Engr Math and Med Magnet,Los Angeles Unified,Los Angeles,90043,Los Angeles County,Yes,No,Yes,No,750,48.8,15.3,0.82,0.67,0,0.01,0.31,0,0,0.01,
Ruben Salazar Continuation,El Rancho Unified,Pico Rivera,90660,Los Angeles County,Yes,No,No,No,147,9.8,14.9,0.68,0,0,0,0.98,0,0,0.02,
San Andreas High,San Bernardino City Unified,Highland,92346,San Bernardino County,Yes,No,No,No,447,28,15.9,0.9,0.2,0,0,0.74,0,0,0.06,
Golden Gate Community Charter,Golden Gate Community District,Pittsburg,94565,Contra Costa County,Yes,Yes,No,No,144,8,18,0.61,0.33,0,0.04,0.42,0.01,0.1,0.1,
Optimist Charter,Optimist Charter District,Los Angeles,90042,Los Angeles County,Yes,Yes,No,No,70,12,5.8,0.9,0.3,0,0.01,0.57,0,0,0.11,
Pioneer Technical Center,Madera County Superintendent of Schools,Madera,93638,Madera County,Yes,Yes,No,No,358,17.6,20.3,0.88,0.02,0.01,0.01,0.73,0,0.12,0.11,
View Park Continuation,Los Angeles Unified,Los Angeles,90016,Los Angeles County,Yes,No,No,No,64,4.5,14.2,0.81,0.28,0,0,0.69,0,0,0.03,
Simon Rodia Continuation,Los Angeles Unified,South Gate,90280,Los Angeles County,Yes,No,No,No,190,8.5,22.3,0.93,0.03,0,0,0.97,0,0,0,
Ramona Opportunity High,Los Angeles Unified,Los Angeles,90063,Los Angeles County,Yes,No,No,No,48,4,12,0.98,0,0,0,1,0,0,0,
Yolo High,Washington Unified,West Sacramento,95691,Yolo County,Yes,No,No,No,115,8,14.3,0.81,0.1,0.04,0.08,0.55,0.01,0.02,0.2,
Denair Charter Academy,Denair Unified,Denair,95316,Stanislaus County,No,Yes,No,No,206,6.2,32.7,0.56,0.01,0.02,0,0.56,0,0.01,0.41,
Amistad High (Continuation),Desert Sands Unified,Indio,92201,Riverside County,Yes,No,No,No,211,18.1,11.6,0.89,0.01,0.01,0,0.93,0,0.02,0.04,
Marconi Learning Academy,Marconi Learning Academy District,Sacramento,95821,Sacramento County,(n/a),Yes,No,No,237,10,23.7,0.92,0.27,0.01,0.03,0.49,0.03,0.06,0.11,
San Bernardino County Special Education,San Bernardino County Office of Education,San Bernardino,92415,San Bernardino County,Yes,No,No,No,1388,140.5,9.8,0.71,0.16,0.01,0.04,0.51,0.01,0.07,0.21,
Greenwood Academy,West Contra Costa Unified,Richmond,94801,Contra Costa County,Yes,No,No,No,313,12.4,25.2,0.75,0.2,0,0.07,0.65,0.01,0.02,0.04,
Richland Continuation High,Orange Unified,Orange,92867,Orange County,No,No,No,No,208,18.1,11.4,0.69,0.01,0,0.02,0.86,0,0.01,0.1,
Alvord Continuation High,Alvord Unified,Riverside,92503,Riverside County,Yes,No,No,No,168,10,16.8,0.76,0.08,0,0.02,0.83,0.01,0.01,0.05,
Renaissance County Community,Los Angeles County Office of Education,Hawthorne,90250,Los Angeles County,Yes,No,No,No,218,16.4,13.2,0.84,0.16,0,0.01,0.77,0.01,0.01,0.04,
Cambridge Continuation High,Fresno Unified,Fresno,93727,Fresno County,Yes,No,No,No,493,16.1,30.6,0.94,0.12,0.01,0.09,0.73,0,0,0.04,
Citrus High,Porterville Unified,Porterville,93257,Tulare County,Yes,No,No,No,165,9,18.3,0.82,0,0.07,0.01,0.73,0.01,0.03,0.15,
Richard A. Alonzo Community Day,Los Angeles Unified,Los Angeles,90028,Los Angeles County,Yes,No,No,No,94,6,15.6,0.81,0.01,0,0.01,0.96,0,0,0.02,
Dewey Academy,Oakland Unified,Oakland,94606,Alameda County,Yes,No,No,No,229,15,15.2,0.87,0.52,0,0.04,0.36,0.02,0.05,0,
Evergreen Continuation,Los Angeles Unified,Sylmar,91342,Los Angeles County,Yes,No,No,No,73,4.5,16.2,0.86,0.01,0,0,0.96,0,0,0.03,
Estrellita Continuation High,Galt Joint Union High,Galt,95632,Sacramento County,Yes,No,No,No,45,3,15,0.8,0,0,0,0.58,0,0.13,0.29,
Santa Cruz County Court,Santa Cruz County Office of Education,Santa Cruz,95060,Santa Cruz County,Yes,No,No,No,63,4,15.7,0.95,0,0,0,0.92,0,0.03,0.05,
Alice M. Worsley,Fresno County Office of Education,Fresno,93725,Fresno County,Yes,No,No,No,242,21.5,11.2,0.98,0.24,0.02,0.02,0.61,0,0,0.11,
Summit High (Continuation),Mt. Diablo Unified,Concord,94521,Contra Costa County,No,No,No,No,117,6.5,17.8,0.56,0.04,0,0.05,0.59,0.03,0.03,0.26,
Thomas Riley High,Los Angeles Unified,Los Angeles,90002,Los Angeles County,Yes,No,No,No,63,5,12.6,0.95,0.22,0,0,0.78,0,0,0,
Milor Continuation High,Rialto Unified,Rialto,92376,San Bernardino County,Yes,No,No,No,242,19.1,12.6,0.8,0.11,0,0.01,0.84,0.01,0.01,0.02,
Chesnut High (Continuation),Coalinga-Huron Unified,Huron,93234,Fresno County,Yes,No,No,No,26,2,13,0.89,0,0,0.04,0.96,0,0,0,
Central Valley High (Continuation),Kern High,Shafter,93263,Kern County,Yes,No,No,No,86,4.2,20.2,0.93,0.01,0.01,0,0.93,0,0,0.05,
Boys Republic High,Chino Valley Unified,Chino Hills,91709,San Bernardino County,No,No,No,No,99,11.9,8.2,0.92,0.24,0,0.01,0.64,0,0.03,0.08,
Rincon High (Continuation),Carpinteria Unified,Carpinteria,93013,Santa Barbara County,No,No,No,No,30,1.6,18.7,0.7,0,0,0,0.9,0,0,0.1,
Tulare Technical Preparatory High,Tulare Joint Union High,Tulare,93274,Tulare County,Yes,No,No,No,39,3.1,12.5,0.8,0.13,0,0,0.74,0,0,0.13,
Cesar E. Chavez High,Santa Ana Unified,Santa Ana,92707,Orange County,Yes,No,No,No,385,16,24,0.88,0,0,0,0.99,0,0,0.01,
Frontier High,Oxnard Union High,Camarillo,93010,Ventura County,Yes,No,No,No,313,23,13.6,0.94,0,0,0.01,0.94,0,0.01,0.04,
Inglewood Continuation High,Inglewood Unified,Inglewood,90301,Los Angeles County,Yes,No,No,No,92,4,23,0.92,0.35,0,0,0.64,0,0,0.01,
North Valley High,Anderson Union High,Anderson,96007,Shasta County,Yes,No,No,No,54,4.3,12.5,0.74,0.02,0.06,0,0.19,0,0.06,0.69,
Ahwahnee High,Yosemite Unified,Oakhurst,93644,Madera County,Yes,No,No,No,33,1,33,0.73,0,0.15,0,0.27,0,0,0.58,
Valley Los Banos Community,Merced County Office of Education,Los Banos,93635,Merced County,Yes,No,No,No,86,5,17.2,0.92,0.01,0.01,0,0.88,0.02,0.01,0.06,
Moneta Continuation,Los Angeles Unified,Gardena,90248,Los Angeles County,Yes,No,No,No,43,1.5,28.6,0.84,0.14,0,0,0.81,0,0,0.05,
Phoenix High Community Day,Antelope Valley Union High,Lancaster,93535,Los Angeles County,Yes,No,No,No,48,8.4,5.7,0.79,0.35,0,0,0.54,0,0.06,0.04,
Bill M. Manes High,San Pasqual Valley Unified,Winterhaven,92283,Imperial County,Yes,No,No,No,30,1,30,0.9,0,0.53,0,0.33,0,0.07,0.07,
Noyo High (Continuation),Fort Bragg Unified,Fort Bragg,95437,Mendocino County,Yes,No,No,No,20,2,10,0.85,0,0.05,0,0.25,0,0.1,0.6,
