School,District,City,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes,Percent White1
Texas High School 1,Fort Bend Independent School District,Sugar Land,77498,Fort Bend,(281) 634-2000,9,12,No,Yes,No,Yes,3992,77,9,0.12,0.09,0.36,0.99,0.46,0.29,0.84,0.89
Texas High School 2,Nazareth Independent School District,Nazareth,79063,Castro,(806) 945-2231,KG,12,No,No,No,Yes,2041,82,16,0.71,0.25,0.55,0.04,0.21,0.74,0.99,0.93
Texas High School 3,Treetops School International,Euless,76040,Tarrant,(817) 283-1771,KG,12,No,No,No,Yes,1223,122,10,0.09,0.96,0.44,0.17,0.45,0.99,0.34,0.62
Texas High School 4,Boerne Independent School District,Boerne,78006,Kendall,(830) 357-2600,9,12,No,No,No,No,2426,86,15,0.72,0.69,0.1,0.6,0.53,0.45,0.42,0.86
Texas High School 5,Barbers Hill Independent School District,Mont Belvieu,77580,Chambers,(281) 576-2221,9,12,(n/a),No,No,Yes,3377,93,10,0.28,0.57,0.01,0.1,0.17,0.32,0.23,0.38
Texas High School 6,Miami Independent School District,Miami,79059,Roberts,(806) 868-3971,PK,12,No,No,No,Yes,1980,104,18,0.22,0.42,0.16,0.48,0.32,0.97,0.92,0.32
Texas High School 7,Conroe Independent School District,The Woodlands,77384,Montgomery,(936) 709-3000,9,12,Yes,No,No,No,2834,73,9,0.39,0.12,0.39,0.79,0.5,0.3,0.14,0.7
Texas High School 8,Plano Independent School District,Plano,75074,Collin,(469) 752-9000,9,12,Yes,No,No,No,3292,108,18,0.18,0.65,0.87,0.22,0.16,0.23,0.17,0.94
Texas High School 9,Dallas Independent School District,Dallas,75241,Dallas,(214) 932-7300,9,12,No,No,No,Yes,4490,109,11,0.27,0.7,0.27,0.2,0.56,0.99,0.64,0.21
Texas High School 10,Pearland Independent School District,Pearland,77581,Brazoria,(281) 727-1600,9,12,Yes,No,No,Yes,1479,122,18,0.89,0.93,0.01,0.6,0.8,0.2,0.44,0.92
Texas High School 11,Yes Prep Public Schools Inc,Houston,77039,Harris,(281) 227-2044,6,12,No,No,No,No,1583,67,18,0.83,0.9,0.97,0.7,0.06,0.6,0.07,0.57
Texas High School 12,Austin Independent School District,Austin,78759,Travis,(512) 414-2538,9,12,Yes,No,No,Yes,813,95,3,0.64,0.52,0.57,0.76,0.72,0.28,0.7,0.2
Texas High School 13,Dripping Springs Independent School District,Dripping Springs,78620,Hays,(512) 858-3100,9,12,Yes,No,No,Yes,3847,72,14,0.84,0.05,0.17,0.8,0.46,0.89,0.39,0.73
Texas High School 14,Cypress-Fairbanks Independent School District,Cypress,77429,Harris,(281) 897-4600,9,12,Yes,No,No,Yes,1284,82,8,0.7,0.77,0.37,0.93,0.24,0.46,0.89,0.2
Texas High School 15,Rockwall Independent School District,Rockwall,75087,Rockwall,(972) 771-7339,9,12,No,No,No,Yes,1995,100,4,0.06,1,0.38,0.02,0.36,0.37,0.88,0.17
Texas High School 16,Yes Prep Public Schools Inc,Houston,77034,Harris,(713) 967-9400,6,12,No,No,No,Yes,3076,67,12,0.7,0.14,0.03,0.57,0.43,0.24,0.23,0.53
Texas High School 17,McKinney Independent School District,McKinney,75070,Collin,(469) 302-4300,9,12,Yes,No,No,No,1917,101,3,0.09,0.53,0.86,0.81,0.61,0.16,0.37,0.61
Texas High School 18,Clear Creek Independent School District,League City,77573,Galveston,(281) 284-1100,9,12,No,No,No,No,1953,97,7,0.71,0.72,0.55,0.31,0.9,0.76,0.26,0.93
Texas High School 19,Van Alstyne Independent School District,Van Alstyne,75495,Grayson,(903) 482-8803,9,12,No,No,No,No,3626,87,17,0.04,0.8,0.28,0.57,0.17,0.48,0.76,1
Texas High School 20,Randolph Field Independent School District,Universal City,78148,Bexar,(210) 357-2400,9,12,No,No,No,Yes,3776,101,18,0.51,0.36,0.9,0.19,0.76,0.28,0.74,0.42
Texas High School 21,Frisco Independent School District,Frisco,75034,Collin,(469) 633-5500,9,12,Yes,No,No,Yes,2806,90,2,0.37,0.8,0.75,0.67,0.77,0.51,0.54,0.82
Texas High School 22,South Texas Independent School District,Mercedes,78570,Hidalgo,(956) 565-2237,9,12,No,No,No,Yes,1612,81,14,0.02,0.85,0.98,0.41,0.38,1,0.01,0.48
Texas High School 23,Keller Independent School District,Keller,76244,Tarrant,(817) 744-2000,9,12,No,No,No,No,3649,81,3,0.49,0.78,0.51,0.94,0.41,0.91,0.18,0.42
Texas High School 24,Clear Creek Independent School District,League City,77573,Galveston,(281) 284-1300,9,12,No,No,No,Yes,1918,125,11,0.18,0.48,0.74,0.99,0.04,0.66,0.66,0.82
Texas High School 25,Austin Independent School District,Austin,78756,Travis,(512) 414-2519,9,12,No,No,No,No,187,73,12,0.93,0.86,0.92,0.82,0.57,0.53,0.48,0.88
Texas High School 26,Fort Bend Independent School District,Missouri City,77459,Fort Bend,(281) 327-5200,9,12,No,No,No,No,2641,91,1,0.96,0.23,0.64,0.08,0.27,0.43,0.66,0.84
Texas High School 27,Spring Branch Independent School District,Houston,77079,Harris,(713) 251-1800,6,12,Yes,Yes,No,No,348,88,17,0.28,0.11,0.65,0.64,0.61,0.49,0.95,0.9
Texas High School 28,Pharr-San Juan-Alamo Independent School District,Pharr,78577,Hidalgo,(956) 784-8525,9,12,Yes,No,No,No,231,69,8,0.3,0.39,0.19,0.57,0.36,0.8,0.26,0.21
Texas High School 29,Coppell Independent School District,Coppell,75019,Dallas,(214) 496-5900,9,12,Yes,No,No,Yes,3020,128,1,0.29,0.18,0.27,0.56,0.72,0.5,0.64,0.65
Texas High School 30,Mercedes Independent School District,Mercedes,78570,Hidalgo,(956) 514-5180,9,12,Yes,No,No,Yes,3245,81,5,0.38,0.58,0.43,0.03,0.21,0.47,0.04,0.14
Texas High School 31,Harmony School Of Excellence,Houston,77084,Harris,(713) 343-3333,KG,12,Yes,Yes,No,No,1016,75,4,0.69,0.97,0.02,0.63,0.15,0.36,0.64,0.61
Texas High School 32,Forney Independent School District,Forney,75126,Kaufman,(972) 564-3890,9,12,No,No,No,No,652,70,17,0.33,0.83,0.45,0.4,0.32,0.62,0.63,0.15
Texas High School 33,Harmony Science Academy (Waco),Fort Worth,76123,Tarrant,(817) 386-5505,4,12,(n/a),Yes,(n/a),Yes,1861,,,0.31,0.25,0.18,0.38,0.6,0.39,0.18,0.45
Texas High School 34,Brock Independent School District,Brock,76087,Parker,(817) 596-7425,9,12,No,No,No,No,4107,29,12.1,0.84,0.39,0.86,0.54,0.67,0.32,0.43,0.54
Texas High School 35,Lamar Consolidated Independent School District,Richmond,77406,Fort Bend,(832) 223-3800,9,12,No,No,No,No,3562,103,20.6,0.85,0.25,0.76,0.03,0.73,0.16,0.7,0.99
Texas High School 36,Lindale Independent School District,Lindale,75771,Smith,(903) 882-6138,9,12,Yes,No,No,Yes,2608,84,13.7,0.59,0.81,0.66,0.4,0.53,0.88,0.23,0.32
Texas High School 37,Poth Independent School District,Poth,78147,Wilson,(830) 484-3322,9,12,Yes,No,No,No,266,26,9.5,0.32,0.01,0.23,0.47,0.85,0.43,0.91,0.22
Texas High School 38,Montgomery Independent School District,Montgomery,77356,Montgomery,(936) 597-6401,9,12,No,No,No,Yes,487,154,15.3,0.4,0.4,0.87,0.51,0.47,0.28,1,0.69
Texas High School 39,Mumford Independent School District,Mumford,77807,Robertson,(979) 279-3678,7,12,Yes,No,No,No,336,16,13.6,0.17,0.7,0.27,0.9,0.81,1,0.05,0.72
Texas High School 40,Conroe Independent School District,Conroe,77385,Montgomery,(832) 592-5300,9,12,No,No,No,No,3834,202,18,0.78,0.47,0.27,0.1,0.4,0.26,0.52,0.67
Texas High School 41,Schertz-Cibolo-U City Independent School District,Cibolo,78108,Guadalupe,(210) 619-4000,9,12,No,No,No,No,3227,118,18.6,0.79,0.58,0.01,0.29,0.45,0.44,0.38,0.84
Texas High School 42,Northside Independent School District,San Antonio,78249,Bexar,(210) 397-8200,9,12,No,No,No,No,1650,149,17.4,0.82,0.24,0.66,0.41,0.09,0.49,0.47,0.34
Texas High School 43,Franklin Independent School District,Franklin,77856,Robertson,(979) 828-7100,9,12,No,No,No,No,3741,39,8.2,0.25,0.38,0.01,0.84,0.28,0.81,0.06,0.74
Texas High School 44,Panola Charter School,Carthage,75633,Panola,(903) 694-4029,8,12,No,Yes,No,Yes,2882,2,15.5,0.42,0.09,0.02,0.82,0.73,0.56,0.32,0.81
Texas High School 45,Lorena Independent School District,Lorena,76655,McLennan,(254) 857-4604,9,12,No,No,No,Yes,1150,42,12.4,0.86,0.37,0.18,0.33,0.65,0.01,0.93,0.01
Texas High School 46,McMullen County Independent School District,Tilden,78072,McMullen,(361) 274-2000,PK,12,No,No,No,Yes,2937,24,11,0.58,0.02,0.92,0.64,0.67,0.22,0.5,0.19
Texas High School 47,Falls City Independent School District,Falls City,78113,Karnes,(830) 254-3551,7,12,No,No,No,No,2115,17,10.6,0.54,0.87,0.11,0.09,0.64,0.79,0.71,0.63
Texas High School 48,Northwest Independent School District,Fort Worth,76052,Tarrant,(817) 698-3955,9,12,(n/a),No,No,Yes,465,,,,,,,,,,
Texas High School 49,Keller Independent School District,Fort Worth,76244,Tarrant,(817) 744-2300,9,12,No,No,No,Yes,559,161,18.3,0.22,0.1,0.01,0.06,0.24,0,0.03,0.56
Texas High School 50,Era Independent School District,Era,76238,Cooke,(940) 665-5961,KG,12,Yes,No,No,No,1305,38,12.4,0.36,0,0.01,0,0.11,0,0.03,0.84
Texas High School 51,Abilene Independent School District,Abilene,79601,Taylor,(325) 794-4140,9,12,Yes,No,No,No,2976,21,18.7,0.45,0.06,0.01,0,0.34,0,0.03,0.56
Texas High School 52,Miles Independent School District,Miles,76861,Runnels,(325) 468-2861,7,12,No,No,No,Yes,2268,21,9.6,0.27,0,0,0.01,0.35,0,0,0.65
Texas High School 53,Sabine Pass Independent School District,Sabine Pass,77655,Jefferson,(409) 971-2321,PK,12,Yes,No,No,Yes,939,31,12.2,0.64,0.19,0.01,0.02,0.34,0,0.02,0.43
Texas High School 54,Fort Bend Independent School District,Sugar Land,77478,Fort Bend,(281) 634-5600,9,12,No,No,No,No,3772,118,18.5,0.2,0.18,0.01,0.35,0.18,0,0.03,0.26
Texas High School 55,Gruver Independent School District,Gruver,79040,Hansford,(806) 733-2477,9,12,Yes,No,No,Yes,4438,18,7.6,0.41,0,0.01,0,0.57,0,0.01,0.42
Texas High School 56,Albany Independent School District,Albany,76430,Shackelford,(325) 762-3974,7,12,Yes,No,No,Yes,1060,23,9.3,0.31,0.02,0.01,0,0.16,0.01,0.02,0.79
Texas High School 57,Rockwall Independent School District,Heath,75032,Rockwall,(972) 772-2474,9,12,Yes,No,No,Yes,789,119,18.4,0.26,0.08,0.01,0.04,0.23,0,0.03,0.62
Texas High School 58,Northside Independent School District,San Antonio,78249,Bexar,(210) 397-5150,9,12,No,No,No,Yes,386,161,17.4,0.32,0.06,0,0.04,0.54,0,0.03,0.33
Texas High School 59,Alamo Heights Independent School District,San Antonio,78209,Bexar,(210) 820-8850,9,12,No,No,No,Yes,788,105,14.7,0.14,0.01,0.01,0.03,0.4,0,0.01,0.55
Texas High School 60,Ysleta Independent School District,El Paso,79925,El Paso,(915) 434-4000,9,12,Yes,No,No,No,3680,142,16.1,0.56,0.02,0,0,0.89,0,0.01,0.08
Texas High School 61,Schertz-Cibolo-U City Independent School District,Schertz,78154,Guadalupe,(210) 945-6501,8,12,No,No,No,No,3954,131,18.7,0.23,0.11,0,0.02,0.38,0,0.04,0.44
Texas High School 62,Gunter Independent School District,Gunter,75058,Grayson,(903) 433-1542,9,12,No,No,No,No,3211,25,10.2,0.26,0,0.01,0.01,0.16,0,0.02,0.8
Texas High School 63,Bushland Independent School District,Bushland,79012,Potter,(806) 359-5418,9,12,No,No,No,Yes,1806,45,11.1,0.15,0.01,0.01,0.01,0.14,0,0.03,0.81
Texas High School 64,Pearland Independent School District,Pearland,77584,Brazoria,(281) 485-3203,9,12,Yes,No,No,Yes,1697,51,16.6,0.25,0.13,0.01,0.06,0.37,0,0.02,0.43
Texas High School 65,Holliday Independent School District,Holliday,76366,Archer,(940) 586-1624,9,12,No,No,No,Yes,3950,25,10.2,0.18,0,0,0,0.05,0,0.01,0.94
Texas High School 66,Spring Branch Independent School District,Houston,77079,Harris,(713) 251-3400,9,12,No,No,No,No,4455,117,16.4,0.23,0.11,0,0.08,0.24,0,0.01,0.55
Texas High School 67,Leander Independent School District,Leander,78641,Williamson,(512) 570-2000,9,12,Yes,No,No,Yes,3533,141,16.5,0.25,0.07,0.01,0.02,0.29,0,0.03,0.58
Texas High School 68,Harmony Science Academy (Waco),Euless,76040,Tarrant,(817) 354-3000,5,12,(n/a),Yes,(n/a),Yes,3900,,,0.55,0.23,0,0.11,0.17,0,0.02,0.47
Texas High School 69,Kennard Independent School District,Kennard,75847,Houston,(936) 655-2335,6,12,Yes,No,No,No,3969,16,9.1,0.58,0.18,0.02,0,0.03,0,0.05,0.72
Texas High School 70,Tolar Independent School District,Tolar,76476,Hood,(254) 835-4316,9,12,No,No,No,Yes,586,21,11.3,0.19,0.01,0,0,0.03,0,0.01,0.95
Texas High School 71,Spring Hill Independent School District,Longview,75605,Gregg,(903) 446-3338,9,12,No,No,No,No,2748,39,12.7,0.25,0.11,0,0.03,0.11,0,0.02,0.73
Texas High School 72,Pflugerville Independent School District,Pflugerville,78660,Travis,(512) 594-1100,9,12,Yes,No,No,Yes,2009,161,17.2,0.37,0.18,0,0.05,0.4,0.01,0.03,0.33
Texas High School 73,Lackland Independent School District,San Antonio,78236,Bexar,(210) 357-5100,7,12,No,No,No,No,507,28,10.2,0.25,0.17,0.01,0.05,0.25,0.02,0.12,0.39
Texas High School 74,Wimberley Independent School District,Wimberley,78676,Hays,(512) 847-5729,8,12,No,No,No,No,3199,51,13.6,0.19,0,0,0,0.18,0,0.03,0.78
Texas High School 75,Blackwell Consolidated Independent School District,Blackwell,79506,Nolan,(325) 282-2311,PK,12,No,No,No,Yes,4101,24,5.4,0.41,0,0.02,0,0.15,0,0.02,0.82
Texas High School 76,Richardson Independent School District,Richardson,75080,Dallas,(469) 593-3000,9,12,Yes,No,No,Yes,147,174,15.2,0.49,0.2,0.01,0.08,0.41,0,0.03,0.27
Texas High School 77,White Oak Independent School District,White Oak,75693,Gregg,(903) 291-2000,9,12,No,No,No,No,2833,34,12.1,0.25,0.01,0.01,0.01,0.07,0,0.02,0.89
Texas High School 78,Austin Independent School District,Austin,78703,Travis,(512) 414-2505,9,12,No,No,No,Yes,1891,126,16.5,0.29,0.05,0,0.02,0.43,0,0.02,0.47
Texas High School 79,Early Independent School District,Early,76803,Brown,(325) 646-8295,9,12,Yes,No,No,Yes,525,34,11.1,0.32,0.02,0.01,0.02,0.22,0,0.02,0.72
Texas High School 80,Highland Independent School District,Roscoe,79545,Nolan,(325) 766-3652,PK,12,Yes,No,No,Yes,2358,20,10.7,0.35,0.01,0,0.01,0.15,0,0,0.83
Texas High School 81,Harmony School Of Excellence,Houston,77038,Harris,(713) 343-3333,9,12,Yes,Yes,No,No,3538,42,14.9,0.42,0.17,0,0.26,0.42,0,0.02,0.13
Texas High School 82,Manor Independent School District,Manor,78653,Travis,(512) 278-4875,9,12,Yes,No,No,No,1704,31,12.4,0.54,0.22,0,0.04,0.51,0,0.02,0.22
Texas High School 83,Keller Independent School District,Keller,76248,Tarrant,(817) 744-4465,9,12,No,No,No,Yes,2677,17,3.3,0.3,0.07,0,0,0.18,0,0.02,0.74
Texas High School 84,Stockdale Independent School District,Stockdale,78160,Wilson,(830) 996-3103,9,12,Yes,No,No,No,1423,28,8.7,0.47,0.01,0,0,0.41,0,0.02,0.55
Texas High School 85,Hurst-Euless-Bedford Independent School District,Euless,76039,Tarrant,(817) 571-0271,10,12,Yes,No,No,No,4279,137,17.6,0.46,0.21,0.01,0.09,0.26,0.04,0.03,0.36
Texas High School 86,Caddo Mills Independent School District,Caddo Mills,75135,Hunt,(903) 527-3164,9,12,No,No,No,Yes,147,33,13.5,0.31,0.02,0,0,0.13,0,0.05,0.8
Texas High School 87,Silverton Independent School District,Silverton,79257,Briscoe,(806) 823-2476,PK,12,Yes,No,No,Yes,3864,19,9.7,0.54,0.03,0,0,0.44,0,0.02,0.51
Texas High School 88,Whiteface Consolidated Independent School District,Whiteface,79379,Cochran,(806) 287-1104,6,12,Yes,No,No,Yes,3683,23,7.6,0.47,0.02,0.01,0,0.45,0.02,0.03,0.49
Texas High School 89,Corpus Christi Independent School District,Corpus Christi,78404,Nueces,(361) 698-2425,9,12,Yes,Yes,No,No,1721,18,22,0.64,0.03,0,0.03,0.85,0,0,0.09
Texas High School 90,South Texas Independent School District,Edinburg,78539,Hidalgo,(956) 383-1684,9,12,Yes,No,No,No,2271,47,14.2,0.68,0.01,0,0.03,0.91,0,0.01,0.04
Texas High School 91,McKinney Independent School District,McKinney,75069,Collin,(469) 302-5700,9,12,No,No,No,No,1447,149,16.6,0.31,0.13,0.01,0.03,0.3,0,0.02,0.5
Texas High School 92,Arlington Independent School District,Arlington,76016,Tarrant,(682) 867-8600,9,12,No,No,No,No,132,200,16.8,0.26,0.14,0.01,0.07,0.18,0,0.03,0.57
Texas High School 93,Loop Independent School District,Loop,79342,Gaines,(806) 487-6412,PK,12,Yes,No,No,No,3189,18,7,0.43,0.01,0,0,0.55,0,0,0.44
Texas High School 94,Christoval Independent School District,Christoval,76935,Tom Green,(325) 896-2355,6,12,No,No,No,Yes,407,24,12.4,0.2,0,0.01,0,0.19,0,0.03,0.77
Texas High School 95,Prairie Valley Independent School District,Nocona,76255,Montague,(940) 825-4425,6,12,No,Yes,No,Yes,640,9,8.6,0.55,0,0,0,0.06,0,0.01,0.92
Texas High School 96,Leander Independent School District,Leander,78641,Williamson,(512) 570-1000,9,12,No,No,No,Yes,2579,136,15.3,0.32,0.05,0,0.02,0.33,0,0.03,0.56
Texas High School 97,Klein Independent School District,Klein,77379,Harris,(832) 484-4000,9,12,No,No,No,Yes,3232,229,16.9,0.28,0.12,0.01,0.1,0.27,0,0.03,0.47
Texas High School 98,Canadian Independent School District,Canadian,79014,Hemphill,(806) 323-5373,9,12,No,No,No,No,1940,26,9.7,0.28,0,0,0,0.41,0,0.01,0.58
Texas High School 99,Texas College Preparatory Academies,Amarillo,79119,Randall,(806) 367-5447,KG,12,(n/a),No,No,Yes,3152,20,15.9,0.16,0.02,0,0.03,0.22,0,0.02,0.71
Texas High School 100,Aubrey Independent School District,Aubrey,76227,Denton,(940) 668-3900,9,12,No,No,No,Yes,3944,36,16.2,0.23,0.03,0.01,0.01,0.17,0,0.01,0.77
Texas High School 101,Westbrook Independent School District,Westbrook,79565,Mitchell,(325) 644-2311,PK,12,Yes,No,No,No,3100,31,9.5,0.32,0,0.01,0,0.35,0,0.01,0.63
Texas High School 102,Richardson Independent School District,Richardson,75080,Dallas,(469) 593-5000,9,12,Yes,No,No,No,3253,144,15.6,0.31,0.06,0,0.03,0.4,0,0.02,0.48
Texas High School 103,Idea Public Schools,San Benito,78586,Cameron,(956) 399-5252,6,12,No,No,No,Yes,3886,45,15.8,0.75,0.01,0,0.01,0.91,0,0,0.07
Texas High School 104,Pearland Independent School District,Pearland,77581,Brazoria,(281) 997-7445,9,12,Yes,No,No,Yes,2020,178,16.4,0.26,0.13,0.01,0.05,0.34,0,0.03,0.45
Texas High School 105,Ector County Independent School District,Odessa,79761,Ector,(432) 456-6989,9,12,No,No,No,No,569,33,9.9,0.39,0.02,0,0.01,0.58,0,0.02,0.37
Texas High School 106,Central Heights Independent School District,Nacogdoches,75965,Nacogdoches,(936) 552-3408,9,12,Yes,No,No,Yes,158,25,13.5,0.27,0.05,0.01,0,0.13,0,0.01,0.8
