Rank (2023-24),School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2023-24)
92,Spanish Fork High,https://www.schooldigger.com/go/UT/schools/0063000399/school.aspx,Nebo District,https://www.schooldigger.com/go/UT/district/00630/search.aspx,99 N 300 W,Spanish Fork,https://www.schooldigger.com/go/UT/city/Spanish+Fork/search.aspx,84660,Utah County,(801) 798-4060,9,12,No,No,No,No,1546,61.7,25,18.30%,0.80%,0.20%,0.10%,14.20%,0.70%,3.20%,80.70%,34.1
93,Utah Connections Academy,https://www.schooldigger.com/go/UT/schools/0015101386/school.aspx,Utah Connections Academy,https://www.schooldigger.com/go/UT/district/00151/search.aspx,675 E. 2100 South,Salt Lake City,https://www.schooldigger.com/go/UT/city/Salt+Lake+City/search.aspx,84106,Salt Lake County,(801) 298-6660,KG,12,Yes,Yes,No,Yes,947,36.3,26,32.40%,2.00%,1.10%,2.00%,18.90%,2.60%,0.80%,72.40%,33.9
94,Mountain View High,https://www.schooldigger.com/go/UT/schools/0003000706/school.aspx,Alpine District,https://www.schooldigger.com/go/UT/district/00030/search.aspx,665 W Center,Orem,https://www.schooldigger.com/go/UT/city/Orem/search.aspx,84057,Utah County,(801) 610-8160,10,12,No,No,No,No,1541,63.7,24.1,31.40%,1.20%,0.60%,0.90%,36.10%,1.20%,3.20%,56.70%,33
95,Stansbury High,https://www.schooldigger.com/go/UT/schools/0105001177/school.aspx,Tooele District,https://www.schooldigger.com/go/UT/district/01050/search.aspx,5300 N Aberdeen Lane,Stansbury Park,https://www.schooldigger.com/go/UT/city/Stansbury+Park/search.aspx,84074,Tooele County,(435) 882-2479,9,12,No,No,No,No,2296,81.7,28,17.40%,1.50%,0.70%,1.50%,16.00%,1.60%,2.20%,76.40%,32.7
96,North Sanpete High,https://www.schooldigger.com/go/UT/schools/0066000412/school.aspx,North Sanpete District,https://www.schooldigger.com/go/UT/district/00660/search.aspx,390 E 700 S,Mt Pleasant,https://www.schooldigger.com/go/UT/city/Mt+Pleasant/search.aspx,84647,Sanpete County,(435) 462-2452,9,12,No,No,No,No,788,31.7,24.8,47.60%,0.30%,1.50%,0.00%,15.90%,0.50%,1.40%,80.50%,32.3
97,Cedar Valley High,https://www.schooldigger.com/go/UT/schools/0003001538/school.aspx,Alpine District,https://www.schooldigger.com/go/UT/district/00030/search.aspx,1389 East Aviator Avenue,Eagle Mountain,https://www.schooldigger.com/go/UT/city/Eagle+Mountain/search.aspx,84005,Utah County,(801) 610-8400,7,12,No,No,No,No,3190,114.3,27.9,19.50%,0.80%,0.40%,0.60%,15.80%,1.80%,4.80%,75.80%,31.9
98,Kings Peak High,https://www.schooldigger.com/go/UT/schools/0042001615/school.aspx,Jordan District,https://www.schooldigger.com/go/UT/district/00420/search.aspx,7905 South Redwood Road,West Jordan,https://www.schooldigger.com/go/UT/city/West+Jordan/search.aspx,84088,Salt Lake County,(801) 567-8020,9,12,No,No,No,Yes,255,17,14.9,23.10%,0.40%,0.80%,0.40%,19.20%,0.00%,4.30%,74.90%,29.6
99,Utah Virtual Academy,https://www.schooldigger.com/go/UT/schools/0013001196/school.aspx,Utah Virtual Academy,https://www.schooldigger.com/go/UT/district/00130/search.aspx,310 E 4500 S,Murray,https://www.schooldigger.com/go/UT/city/Murray/search.aspx,84107,Salt Lake County,(801) 262-4922,KG,12,Yes,Yes,No,Yes,1732,88.7,19.5,52.40%,2.10%,0.60%,1.00%,15.80%,2.00%,5.80%,72.70%,29.4
100,Spectrum Academy - Pleasant Grove,https://www.schooldigger.com/go/UT/schools/0004201464/school.aspx,Spectrum Academy,https://www.schooldigger.com/go/UT/district/00042/search.aspx,867 South 800 West,Pleasant Grove,https://www.schooldigger.com/go/UT/city/Pleasant+Grove/search.aspx,84062,Utah County,(801) 785-9019,KG,12,No,Yes,No,No,712,64,11.1,22.50%,1.00%,0.30%,1.30%,11.50%,0.40%,6.20%,79.20%,28.3
101,Jordan High,https://www.schooldigger.com/go/UT/schools/0014200307/school.aspx,Canyons District,https://www.schooldigger.com/go/UT/district/00142/search.aspx,95 E 9825 S,Sandy,https://www.schooldigger.com/go/UT/city/Sandy/search.aspx,84070,Salt Lake County,(801) 826-6200,8,12,No,No,No,No,1797,80.2,22.4,36.20%,1.30%,0.40%,1.40%,32.90%,1.00%,4.50%,58.40%,27.8
102,Clearfield High,https://www.schooldigger.com/go/UT/schools/0021000112/school.aspx,Davis District,https://www.schooldigger.com/go/UT/district/00210/search.aspx,931 S 1000 E,Clearfield,https://www.schooldigger.com/go/UT/city/Clearfield/search.aspx,84015,Davis County,(801) 402-8200,10,12,No,No,No,No,2058,80.6,25.5,23.90%,1.80%,0.60%,1.50%,15.80%,1.30%,3.60%,75.40%,26.2
103,Logan High,https://www.schooldigger.com/go/UT/schools/0051000351/school.aspx,Logan City District,https://www.schooldigger.com/go/UT/district/00510/search.aspx,162 W 100 S,Logan,https://www.schooldigger.com/go/UT/city/Logan/search.aspx,84321,Cache County,(435) 755-2380,9,12,No,No,No,No,1491,63.9,23.3,49.30%,2.80%,0.60%,3.20%,34.30%,2.60%,2.10%,54.40%,26
104,Duchesne High,https://www.schooldigger.com/go/UT/schools/0024000162/school.aspx,Duchesne District,https://www.schooldigger.com/go/UT/district/00240/search.aspx,155 W. Main Street,Duchesne,https://www.schooldigger.com/go/UT/city/Duchesne/search.aspx,84021,Duchesne County,(435) 738-1260,7,12,No,No,No,No,410,19.7,20.7,34.60%,0.50%,0.70%,0.20%,12.70%,0.00%,1.70%,84.10%,25.4
105,Payson High,https://www.schooldigger.com/go/UT/schools/0063000390/school.aspx,Nebo District,https://www.schooldigger.com/go/UT/district/00630/search.aspx,1050 S Main,Payson,https://www.schooldigger.com/go/UT/city/Payson/search.aspx,84651,Utah County,(801) 465-6025,6,12,No,No,No,No,1601,68.6,23.3,25.30%,0.70%,0.20%,0.10%,18.10%,0.10%,1.90%,78.80%,25.2
106,Merit College Preparatory Academy,https://www.schooldigger.com/go/UT/schools/0013101220/school.aspx,Merit College Preparatory Academy,https://www.schooldigger.com/go/UT/district/00131/search.aspx,1440 W Center Street,Springville,https://www.schooldigger.com/go/UT/city/Springville/search.aspx,84663,Utah County,(801) 491-7600,7,12,Yes,Yes,No,No,493,29.2,16.8,38.30%,0.80%,0.60%,0.60%,27.00%,0.80%,1.20%,69.00%,25
107,Ogden High,https://www.schooldigger.com/go/UT/schools/0072001271/school.aspx,Ogden City District,https://www.schooldigger.com/go/UT/district/00720/search.aspx,2828 Harrison Blvd,Ogden,https://www.schooldigger.com/go/UT/city/Ogden/search.aspx,84403,Weber County,(801) 737-8673,10,12,Yes,No,No,No,1113,57,19.5,51.70%,1.30%,0.70%,1.00%,46.50%,0.60%,3.80%,46.10%,24.2
108,Mountain Crest High,https://www.schooldigger.com/go/UT/schools/0012000792/school.aspx,Cache District,https://www.schooldigger.com/go/UT/district/00120/search.aspx,255 S 800 E,Hyrum,https://www.schooldigger.com/go/UT/city/Hyrum/search.aspx,84319,Cache County,(435) 245-6093,8,12,No,No,No,No,1554,61.9,25.1,25.40%,0.50%,0.50%,0.50%,11.00%,0.60%,1.80%,85.10%,24
109,West High,https://www.schooldigger.com/go/UT/schools/0087000524/school.aspx,Salt Lake District,https://www.schooldigger.com/go/UT/district/00870/search.aspx,241 N 300 W,Salt Lake City,https://www.schooldigger.com/go/UT/city/Salt+Lake+City/search.aspx,84103,Salt Lake County,(801) 578-8500,7,12,No,No,No,No,2505,112.8,22.2,53.10%,4.80%,1.20%,7.30%,46.70%,8.00%,5.10%,26.70%,23.4
110,Bear River High,https://www.schooldigger.com/go/UT/schools/0009000043/school.aspx,Box Elder District,https://www.schooldigger.com/go/UT/district/00090/search.aspx,1450 S Main,Garland,https://www.schooldigger.com/go/UT/city/Garland/search.aspx,84312,Box Elder County,(435) 734-4840,10,12,No,No,No,No,1196,48.6,24.6,24.50%,0.30%,0.30%,0.40%,9.30%,0.20%,1.40%,88.00%,23
111,Copper Hills High,https://www.schooldigger.com/go/UT/schools/0042000346/school.aspx,Jordan District,https://www.schooldigger.com/go/UT/district/00420/search.aspx,5445 W 7800 S,West Jordan,https://www.schooldigger.com/go/UT/city/West+Jordan/search.aspx,84081,Salt Lake County,(801) 256-5300,10,12,No,No,No,No,2959,118.4,24.9,22.90%,1.40%,0.50%,1.90%,27.60%,1.30%,4.40%,63.00%,22.5
112,Freedom Preparatory Academy,https://www.schooldigger.com/go/UT/schools/0006200992/school.aspx,Freedom Preparatory Academy,https://www.schooldigger.com/go/UT/district/00062/search.aspx,1190 W 900 N,Provo,https://www.schooldigger.com/go/UT/city/Provo/search.aspx,84604,Utah County,(801) 437-3100,PK,12,Yes,Yes,No,No,1319,73.7,17.8,45.60%,1.60%,0.50%,2.40%,48.00%,1.70%,1.30%,44.50%,22.5
113,Provo High,https://www.schooldigger.com/go/UT/schools/0081000459/school.aspx,Provo District,https://www.schooldigger.com/go/UT/district/00810/search.aspx,1199 North Lakeshore Dr,Provo,https://www.schooldigger.com/go/UT/city/Provo/search.aspx,84601,Utah County,(801) 373-6550,7,12,No,No,No,No,1981,81.1,24.4,37.90%,0.60%,1.00%,1.30%,39.80%,3.00%,3.60%,50.70%,22.4
114,Tooele High,https://www.schooldigger.com/go/UT/schools/0105000574/school.aspx,Tooele District,https://www.schooldigger.com/go/UT/district/01050/search.aspx,301 W Vine,Tooele,https://www.schooldigger.com/go/UT/city/Tooele/search.aspx,84074,Tooele County,(435) 833-1978,9,12,No,No,No,No,1878,86.3,21.7,30.80%,1.50%,0.80%,0.90%,21.30%,1.70%,1.80%,71.40%,21.2
115,Venture Academy,https://www.schooldigger.com/go/UT/schools/0013301216/school.aspx,Venture Academy,https://www.schooldigger.com/go/UT/district/00133/search.aspx,495 N 1500 W,Marriott Slaterville City,https://www.schooldigger.com/go/UT/city/Marriott+Slaterville+City/search.aspx,84404,Weber County,(801) 393-3900,KG,12,Yes,Yes,No,No,801,43.2,18.5,23.50%,0.60%,0.00%,0.60%,18.40%,1.00%,2.10%,77.20%,20.8
116,Union High,https://www.schooldigger.com/go/UT/schools/0024000171/school.aspx,Duchesne District,https://www.schooldigger.com/go/UT/district/00240/search.aspx,850 East Lagoon Street,Roosevelt,https://www.schooldigger.com/go/UT/city/Roosevelt/search.aspx,84066,Duchesne County,(435) 725-4525,9,12,No,No,No,No,1155,46,25,33.60%,0.30%,9.10%,0.30%,10.10%,0.20%,4.50%,75.50%,20.2
117,East High,https://www.schooldigger.com/go/UT/schools/0087000486/school.aspx,Salt Lake District,https://www.schooldigger.com/go/UT/district/00870/search.aspx,840 S 1300 E,Salt Lake City,https://www.schooldigger.com/go/UT/city/Salt+Lake+City/search.aspx,84102,Salt Lake County,(801) 583-1661,9,12,No,No,No,No,1863,84.9,21.9,54.70%,5.50%,0.80%,4.30%,46.40%,5.10%,3.30%,34.60%,19.9
118,American Preparatory Academy - Accelerated School,https://www.schooldigger.com/go/UT/schools/0000501404/school.aspx,American Preparatory Academy,https://www.schooldigger.com/go/UT/district/00005/search.aspx,3636 W 3100 S,West Valley City,https://www.schooldigger.com/go/UT/city/West+Valley+City/search.aspx,84119,Salt Lake County,(385) 351-3090,KG,12,Yes,Yes,No,No,1473,81.9,17.9,54.00%,7.20%,0.10%,8.00%,67.00%,1.60%,1.80%,14.20%,18.5
119,West Jordan High,https://www.schooldigger.com/go/UT/schools/0042000769/school.aspx,Jordan District,https://www.schooldigger.com/go/UT/district/00420/search.aspx,8136 S 2700 W,West Jordan,https://www.schooldigger.com/go/UT/city/West+Jordan/search.aspx,84088,Salt Lake County,(801) 256-5600,10,12,No,No,No,No,1870,83.1,22.4,37.10%,2.00%,0.30%,1.60%,35.60%,3.50%,4.70%,52.30%,16.6
120,Juab High,https://www.schooldigger.com/go/UT/schools/0045000334/school.aspx,Juab District,https://www.schooldigger.com/go/UT/district/00450/search.aspx,802 N 650 E,Nephi,https://www.schooldigger.com/go/UT/city/Nephi/search.aspx,84648,Juab County,(435) 623-1764,9,12,No,No,No,No,887,36.3,24.3,18.60%,0.20%,0.00%,0.20%,5.20%,0.10%,1.60%,92.70%,16.2
121,Taylorsville High,https://www.schooldigger.com/go/UT/schools/0036000764/school.aspx,Granite District,https://www.schooldigger.com/go/UT/district/00360/search.aspx,5225 S Redwood Road,Taylorsville,https://www.schooldigger.com/go/UT/city/Taylorsville/search.aspx,84123,Salt Lake County,(385) 646-5455,9,12,No,No,No,No,2694,99.3,27.1,45.10%,2.90%,0.90%,3.20%,36.20%,3.90%,3.70%,49.30%,15.8
122,Utah Military Academy,https://www.schooldigger.com/go/UT/schools/0017601463/school.aspx,Utah Military Academy,https://www.schooldigger.com/go/UT/district/00176/search.aspx,5120 S. 1050 W.,Riverdale,https://www.schooldigger.com/go/UT/city/Riverdale/search.aspx,84405,Weber County,(801) 689-3013,7,12,Yes,Yes,No,No,528,34.9,15,32.60%,1.90%,0.20%,3.00%,30.50%,2.30%,5.10%,57.00%,14.9
123,Rockwell Charter High School,https://www.schooldigger.com/go/UT/schools/0012501199/school.aspx,Rockwell Charter High School,https://www.schooldigger.com/go/UT/district/00125/search.aspx,3435 E Stonebridge Lane,Eagle Mountain,https://www.schooldigger.com/go/UT/city/Eagle+Mountain/search.aspx,84005,Utah County,(801) 789-7625,7,12,No,Yes,No,No,265,15.3,17.2,18.10%,1.10%,0.40%,3.00%,16.60%,0.00%,2.60%,75.10%,12.4
124,Grand County High,https://www.schooldigger.com/go/UT/schools/0033000191/school.aspx,Grand District,https://www.schooldigger.com/go/UT/district/00330/search.aspx,608 S 400 E,Moab,https://www.schooldigger.com/go/UT/city/Moab/search.aspx,84532,Grand County,(435) 259-8931,9,12,No,No,No,No,453,27.8,16.2,24.70%,0.20%,5.50%,0.40%,21.00%,0.70%,2.40%,69.80%,11.4
125,Roy High,https://www.schooldigger.com/go/UT/schools/0120000634/school.aspx,Weber District,https://www.schooldigger.com/go/UT/district/01200/search.aspx,2150 W 4800 S,Roy,https://www.schooldigger.com/go/UT/city/Roy/search.aspx,84067,Weber County,(801) 476-3600,10,12,No,No,No,No,1871,92.5,20.2,35.30%,1.40%,0.80%,1.50%,22.80%,1.10%,3.60%,68.70%,10.9
126,Bonneville High,https://www.schooldigger.com/go/UT/schools/0120000613/school.aspx,Weber District,https://www.schooldigger.com/go/UT/district/01200/search.aspx,251 E 4800 S,Ogden,https://www.schooldigger.com/go/UT/city/Ogden/search.aspx,84405,Weber County,(801) 452-4050,10,12,No,No,No,No,1405,68.2,20.5,34.50%,1.50%,0.30%,1.20%,22.00%,1.10%,2.60%,71.30%,9.6
127,Cyprus High,https://www.schooldigger.com/go/UT/schools/0036000210/school.aspx,Granite District,https://www.schooldigger.com/go/UT/district/00360/search.aspx,8623 W 3000 S,Magna,https://www.schooldigger.com/go/UT/city/Magna/search.aspx,84044,Salt Lake County,(385) 646-5300,9,12,No,No,No,No,2772,101.2,27.3,47.80%,2.80%,0.50%,1.50%,39.40%,2.80%,4.70%,48.20%,9.3
128,Innovations High School,https://www.schooldigger.com/go/UT/schools/0087001422/school.aspx,Salt Lake District,https://www.schooldigger.com/go/UT/district/00870/search.aspx,1700 South State Street,Salt Lake City,https://www.schooldigger.com/go/UT/city/Salt+Lake+City/search.aspx,84115,Salt Lake County,(801) 481-4946,9,12,No,No,No,No,284,7.3,38.9,41.90%,4.60%,0.40%,2.50%,49.60%,1.10%,3.50%,38.40%,8.6
129,Salt Lake Academy High School,https://www.schooldigger.com/go/UT/schools/0019701517/school.aspx,Salt Lake Academy High School,https://www.schooldigger.com/go/UT/district/00197/search.aspx,14787 S Academy Pkwy,Herriman,https://www.schooldigger.com/go/UT/city/Herriman/search.aspx,84096,Salt Lake County,(801) 597-3096,9,12,No,Yes,No,No,414,11.7,35.1,11.10%,6.80%,0.00%,1.40%,52.40%,0.70%,2.70%,36.00%,6.7
130,Utah Military Academy - Camp Williams,https://www.schooldigger.com/go/UT/schools/0017601501/school.aspx,Utah Military Academy,https://www.schooldigger.com/go/UT/district/00176/search.aspx,3901 West Waterberry Drive,Lehi,https://www.schooldigger.com/go/UT/city/Lehi/search.aspx,84043,Utah County,(385) 498-6167,7,12,No,Yes,No,No,374,23.7,15.7,31.30%,2.90%,0.50%,1.60%,38.50%,1.90%,5.30%,49.20%,6.5
131,Kearns High,https://www.schooldigger.com/go/UT/schools/0036000234/school.aspx,Granite District,https://www.schooldigger.com/go/UT/district/00360/search.aspx,5525 S Cougar Ln,Kearns,https://www.schooldigger.com/go/UT/city/Kearns/search.aspx,84118,Salt Lake County,(385) 646-5380,9,12,No,No,No,No,2408,93.9,25.6,54.90%,2.60%,0.70%,1.70%,45.60%,4.10%,5.40%,39.90%,6.3
132,Hunter High,https://www.schooldigger.com/go/UT/schools/0036000898/school.aspx,Granite District,https://www.schooldigger.com/go/UT/district/00360/search.aspx,4200 S 5600 W,West Valley City,https://www.schooldigger.com/go/UT/city/West+Valley+City/search.aspx,84128,Salt Lake County,(385) 646-5360,9,12,No,No,No,No,2616,105.2,24.8,54.30%,3.20%,0.50%,3.50%,48.90%,3.70%,5.90%,34.30%,6
133,Cottonwood High,https://www.schooldigger.com/go/UT/schools/0036000207/school.aspx,Granite District,https://www.schooldigger.com/go/UT/district/00360/search.aspx,5715 S 1300 E,Salt Lake City,https://www.schooldigger.com/go/UT/city/Salt+Lake+City/search.aspx,84121,Salt Lake County,(385) 646-5264,9,12,Yes,No,No,No,1495,65.4,22.8,52.80%,6.20%,1.50%,5.20%,33.50%,1.10%,6.70%,45.80%,5.8
134,Ben Lomond High,https://www.schooldigger.com/go/UT/schools/0072001281/school.aspx,Ogden City District,https://www.schooldigger.com/go/UT/district/00720/search.aspx,1080 9th Street,Ogden,https://www.schooldigger.com/go/UT/city/Ogden/search.aspx,84404,Weber County,(801) 737-7900,10,12,Yes,No,No,No,1338,61.9,21.6,60.80%,1.00%,0.40%,0.80%,60.60%,1.00%,4.00%,32.20%,5.8
135,Fast Forward High,https://www.schooldigger.com/go/UT/schools/0001900906/school.aspx,Fast Forward High,https://www.schooldigger.com/go/UT/district/00019/search.aspx,875 W 1400 N,Logan,https://www.schooldigger.com/go/UT/city/Logan/search.aspx,84321,Cache County,(435) 713-4255,9,12,Yes,Yes,No,No,444,14.7,30,35.10%,1.10%,1.40%,1.80%,30.20%,0.50%,2.90%,62.20%,5.6
136,Granger High,https://www.schooldigger.com/go/UT/schools/0036000218/school.aspx,Granite District,https://www.schooldigger.com/go/UT/district/00360/search.aspx,3690 S 3600 W,West Valley City,https://www.schooldigger.com/go/UT/city/West+Valley+City/search.aspx,84119,Salt Lake County,(385) 646-5320,8,12,Yes,No,No,No,3434,127.1,27,63.70%,3.10%,0.70%,2.90%,47.00%,4.30%,6.40%,35.50%,3.3
137,Whitehorse High,https://www.schooldigger.com/go/UT/schools/0090000667/school.aspx,San Juan District,https://www.schooldigger.com/go/UT/district/00900/search.aspx,1415 Hwy 162,Montezuma Creek,https://www.schooldigger.com/go/UT/city/Montezuma+Creek/search.aspx,84534,San Juan County,(435) 678-1209,7,12,Yes,No,No,No,304,17.6,17.2,96.70%,0.00%,98.70%,0.00%,0.70%,0.00%,0.70%,0.00%,2.7
138,East Hollywood High,https://www.schooldigger.com/go/UT/schools/0003601072/school.aspx,East Hollywood High,https://www.schooldigger.com/go/UT/district/00036/search.aspx,2185 S 3600 W,West Valley City,https://www.schooldigger.com/go/UT/city/West+Valley+City/search.aspx,84119,Salt Lake County,(801) 886-8181,9,12,Yes,Yes,Yes,No,271,13.5,19.9,53.50%,4.10%,3.00%,0.00%,25.80%,4.80%,5.90%,56.50%,1.4